1,Ale Wee,ALE WEE,ALE,11009,,N,,?,04.02.2003,,?,,?,1,,N,ALE WEE
576,Rue Richard Coudenhove-Kalergi,RUE RICHARD COUDENHOVE-KALERGI,COUDENHOVE,21554,,N,,?,04.02.2003,,?,,?,1,,N,RUE RICHARD COUDENHOVE-KALERGI
577,Rue Richard Wagner,RUE RICHARD WAGNER,WAGNER,61068,,N,,?,04.02.2003,,?,,?,1,,N,RUE RICHARD WAGNER
578,Rue Robert Bruch,RUE ROBERT BRUCH,BRUCH,11085,,N,,?,04.02.2003,,?,,?,1,,N,RUE ROBERT BRUCH
579,Rue Robert Stumper,RUE ROBERT STUMPER,STUMPER,11220,,N,,?,04.02.2003,,?,,?,1,,N,RUE ROBERT STUMPER
580,Rue Ry Boissaux,RUE RY BOISSAUX,BOISSAUX,10759,,N,,?,04.02.2003,,?,,?,1,,N,RUE RY BOISSAUX
581,Rue Sainte Thérèse d'Avila,RUE SAINTE THERESE D'AVILA,AVILA,10443,,N,,?,02.07.2014,,?,,?,1,,N,RUE SAINTE THERESE D'AVILA
583,Rue Schetzel,RUE SCHETZEL,SCHETZEL,51097,,N,,?,04.02.2003,,?,,?,1,,N,RUE SCHETZEL
584,Rue Schiller,RUE SCHILLER,SCHILLER,51098,,N,,?,04.02.2003,,?,,?,1,,N,RUE SCHILLER
585,Rue Mathieu Lambert Schrobilgen,RUE MATHIEU LAMBERT SCHROBILGEN,SCHROBILGE,61004,,N,,?,04.02.2003,,?,,?,1,,N,RUE MATHIEU L. SCHROBILGEN
586,Rue S. G. Thomas,RUE S. G. THOMAS,THOMAS,61038,,N,,?,18.09.2009,,?,,?,1,,N,Rue S. G. Thomas
587,Rue Sigefroi,RUE SIGEFROI,SIGEFROI,61015,,N,,?,04.02.2003,,?,,?,1,,N,RUE SIGEFROI
588,Rue Siggy vu Lëtzebuerg,RUE SIGGY VU LETZEBUERG,SIGGY,91044,,N,,?,04.02.2003,,?,,?,1,,N,RUE SIGGY VU LETZEBUERG
589,Rue Sigismond,RUE SIGISMOND,SIGISMOND,61016,,N,,?,04.02.2003,,?,,?,1,,N,RUE SIGISMOND
590,Rue Sosthene Weis,RUE SOSTHENE WEIS,WEIS,61077,,N,,?,04.02.2003,,?,,?,1,,N,RUE SOSTHENE WEIS
591,Rue St Fiacre,RUE ST FIACRE,FIACRE,21090,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Fiacre
592,Rue St Gengoul,RUE ST GENGOUL,GENGOUL,31023,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Gengoul
8702,Rue Albert Einstein,RUE ALBERT EINSTEIN,EINSTEIN,,?,N,,?,29.01.2013,,?,,?,1,,N,Rue Albert Einstein
8703,Brandgässel,BRANDGASSEL,BRANDGASSE,,?,N,,?,29.01.2013,,?,,?,1,,N,Brandgässel
593,Rue St Joseph,RUE ST JOSEPH,JOSEPH,11126,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Joseph
594,Rue St Mathieu,RUE ST MATHIEU,MATHIEU,41061,,N,,?,18.09.2009,CR,,218,,1,,N,Rue St Mathieu
595,Rue St Quirin,RUE ST QUIRIN,QUIRIN,51063,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Quirin
596,Rue St Ulric,RUE ST ULRIC,ULRIC,61052,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Ulric
597,Rue St Willibrord,RUE ST WILLIBRORD,WILLIBRORD,61085,,N,,?,18.09.2009,,?,,?,1,,N,Rue St Willibrord
598,Rue Ste Catherine,RUE STE CATHERINE,CATHERINE,11095,,N,,?,18.09.2009,,?,,?,1,,N,Rue Ste Catherine
599,Rue Ste Zithe,RUE STE ZITHE,ZITHE,61093,,N,,?,18.09.2009,,?,,?,1,,N,Rue Ste Zithe
600,Rue Théodore Eberhard,RUE THEODORE EBERHARD,EBERHARD,21055,,N,,?,19.05.2015,,?,,?,1,,N,RUE THEODORE EBERHARD
601,Rue Théophile Funck-Brentano,RUE THEOPHILE FUNCK-BRENTANO,FUNCK-BREN,11079,,N,,?,04.02.2003,,?,,?,1,,N,Rue Théophile Funck-Brentano
602,Rue Thomas Byrne,RUE THOMAS BYRNE,BYRNE,11088,,N,,?,04.02.2003,,?,,?,1,,N,RUE THOMAS BYRNE
603,Rue Tony Bourg,RUE TONY BOURG,BOURG,10756,,N,,?,04.02.2003,,?,,?,1,,N,RUE TONY BOURG
604,Rue Tony Dutreux,RUE TONY DUTREUX,DUTREUX,21053,,N,,?,04.02.2003,,?,,?,1,,N,RUE TONY DUTREUX
605,Rue Tony Neuman,RUE TONY NEUMAN,NEUMAN,10087,,N,,?,04.02.2003,,?,,?,1,,N,RUE TONY NEUMAN
606,Rue Tubis,RUE TUBIS,TUBIS,61049,,N,,?,04.02.2003,,?,,?,1,,N,RUE TUBIS
607,Rue Vauban,RUE VAUBAN,VAUBAN,61056,,N,,?,04.02.2003,CR,,218,,1,,N,RUE VAUBAN
608,Rue Giuseppe Verdi,RUE GIUSEPPE VERDI,VERDI,61057,,N,,?,30.09.2011,,?,,?,1,,N,RUE GIUSEPPE VERDI
609,Rue Verte,RUE VERTE,VERTE,61061,,N,,?,04.02.2003,,?,,?,1,,N,RUE VERTE
610,Rue Victor Ferrant,RUE VICTOR FERRANT,FERRANT,21088,,N,,?,04.02.2003,,?,,?,1,,N,RUE VICTOR FERRANT
611,Rue Walram,RUE WALRAM,WALRAM,61071,,N,,?,04.02.2003,,?,,?,1,,N,RUE WALRAM
612,Rue William Turner,RUE WILLIAM TURNER,TURNER,61051,,N,,?,04.02.2003,,?,,?,1,,N,RUE WILLIAM TURNER
613,Rue Willy Goergen,RUE WILLY GOERGEN,GOERGEN,31035,,N,,?,04.02.2003,,?,,?,1,,N,RUE WILLY GOERGEN
614,Rue Wilson,RUE WILSON,WILSON,61087,,N,,?,04.02.2003,,?,,?,1,,N,RUE WILSON
615,Rue W.A. Mozart,RUE W.A. MOZART,MOZART,41084,,N,,?,04.02.2003,,?,,?,1,,N,RUE W.A. MOZART
616,Rue Wurth-Paquet,RUE WURTH-PAQUET,WURTH-PAQU,51020,,N,,?,04.02.2003,,?,,?,1,,N,RUE WURTH-PAQUET
6776,Rue de l'Ancien Athénée,RUE DE L'ANCIEN ATHENEE,ATHENEE,11035,,N,,?,20.11.2000,,?,,?,1,,N,Rue de l'Ancien Athénée
6777,Place des Bains,PLACE DES BAINS,BAINS,,?,N,,?,20.11.2000,,?,,?,1,,N,Place des Bains
2,Allée des Poiriers,ALLEE DES POIRIERS,POIRIERS,10486,,N,,?,04.02.2003,,?,,?,1,,N,ALLEE DES POIRIERS
275,Rue de Rollingergrund,RUE DE ROLLINGERGRUND,ROLLINGERG,51085,,N,,?,04.02.2003,N,,12,,1,,N,RUE DE ROLLINGERGRUND
6833,Place de Metz,PLACE DE METZ,METZ,41069,,N,,?,28.11.2000,N,,2,,1,,N,Place de Metz
6834,Rue Aloyse Meyer,RUE ALOYSE MEYER,MEYER,21569,,N,,?,21.11.2000,,?,,?,1,,N,Rue Aloyse Meyer
6835,Square Aloyse Meyer,SQUARE ALOYSE MEYER,MEYER,41074,,N,,?,21.11.2000,,?,,?,1,,N,Square Aloyse Meyer
276,Rue de Salm,RUE DE SALM,SALM,11446,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE SALM
277,Rue de Saint-Hubert,RUE DE SAINT-HUBERT,HUBERT,31073,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE SAINT-HUBERT
278,Rue de Saint-Vith,RUE DE SAINT-VITH,SAINT-VITH,61066,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE SAINT-VITH
279,Rue de Stavelot,RUE DE STAVELOT,STAVELOT,61026,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE STAVELOT
280,Rue de Strasbourg,RUE DE STRASBOURG,STRASBOURG,61029,,N,,?,04.02.2003,CR,,223,,1,,N,RUE DE STRASBOURG
281,Rue de Strassen,RUE DE STRASSEN,STRASSEN,61030,,N,,?,04.02.2003,CR,,230,,1,,N,RUE DE STRASSEN
282,Rue de Trèves,RUE DE TREVES,TREVES,61047,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE TREVES
283,Rue de Vianden,RUE DE VIANDEN,VIANDEN,61063,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE VIANDEN
284,Rue de Virton,RUE DE VIRTON,VIRTON,61065,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE VIRTON
285,Rue de Wiltz,RUE DE WILTZ,WILTZ,61089,,N,,?,04.02.2003,,?,,?,1,,N,RUE DE WILTZ
286,Rue Demy Schlechter,RUE DEMY SCHLECHTER,SCHLECHTER,51099,,N,,?,04.02.2003,,?,,?,1,,N,RUE DEMY SCHLECHTER
287,Rue des Alouettes,RUE DES ALOUETTES,ALOUETTES,11011,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES ALOUETTES
288,Rue des Anémones,RUE DES ANEMONES,ANEMONES,11019,,N,,?,12.12.2014,,?,,?,1,,N,Rue des Anémones
289,Rue des Ardennes,RUE DES ARDENNES,ARDENNES,11024,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES ARDENNES
290,Rue des Arquebusiers,RUE DES ARQUEBUSIERS,ARQUEBUSIE,11029,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES ARQUEBUSIERS
291,Rue des Artisans,RUE DES ARTISANS,ARTISANS,11032,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES ARTISANS
292,Rue des Aubépines,RUE DES AUBEPINES,AUBEPINES,11036,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES AUBEPINES
6836,Rue de la Monnaie,RUE DE LA MONNAIE,MONNAIE,71017,,N,,?,21.11.2000,,?,,?,1,,N,Rue de la Monnaie
6837,Rue Jean Monnet,RUE JEAN MONNET,MONNET,17016,,N,,?,21.11.2000,,?,,?,1,,N,Rue Jean Monnet
6838,Rue Léo Moulin,RUE LEO MOULIN,MOULIN,10448,,N,,?,10.09.2018,,?,,?,1,,N,Rue Léo Moulin
293,Rue des Bains,RUE DES BAINS,BAINS,11041,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES BAINS
294,Rue des Bleuets,RUE DES BLEUETS,BLEUETS,11063,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES BLEUETS
295,Rue des Capucins,RUE DES CAPUCINS,CAPUCINS,11091,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES CAPUCINS
296,Rue des Carrières,RUE DES CARRIERES,CARRIERES,11094,,N,,?,12.12.2014,,?,,?,1,,N,Rue des Carrières
297,Rue des Celtes,RUE DES CELTES,CELTES,11096,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES CELTES
298,Rue des Cerisiers,RUE DES CERISIERS,CERISIERS,11098,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES CERISIERS
299,Rue des Champs,RUE DES CHAMPS,CHAMPS,21002,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES CHAMPS
300,Rue des Cigales,RUE DES CIGALES,CIGALES,21016,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES CIGALES
301,Rue des Coquelicots,RUE DES COQUELICOTS,COQUELICOT,21029,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES COQUELICOTS
302,Rue des Dahlias,RUE DES DAHLIAS,DAHLIAS,21037,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES DAHLIAS
303,Rue des Dominicains,RUE DES DOMINICAINS,DOMINICAIN,21045,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES DOMINICAINS
304,Rue des Eglantiers,RUE DES EGLANTIERS,EGLANTIERS,21059,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES EGLANTIERS
305,Rue des Etats-Unis,RUE DES ETATS-UNIS,ETATS-UNIS,21078,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES ETATS-UNIS
306,Rue des Forains,RUE DES FORAINS,FORAINS,21099,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES FORAINS
307,Rue des Foyers,RUE DES FOYERS,FOYERS,31005,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES FOYERS
308,Rue des Franciscaines,RUE DES FRANCISCAINES,FRANCISCAI,31008,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES FRANCISCAINES
309,Rue des Gaulois,RUE DES GAULOIS,GAULOIS,31019,,N,,?,04.02.2003,,?,,?,1,,N,RUE DES GAULOIS
6839,Place Emile Mousel,PLACE EMILE MOUSEL,MOUSEL,,?,N,,?,21.11.2000,,?,,?,1,,N,Place Emile Mousel
3,Allée des Résistants et des Déportés,ALLEE DES RESISTANTS ET DES DEPORTES,RESISTANTS,21555,,N,,?,04.02.2003,,?,,?,1,,N,A. DES RESISTANTS ET DEPORTES
6778,Pont Joseph Bech,PONT JOSEPH BECH,BECH,,?,N,,?,20.11.2000,,?,,?,1,,N,Pont Joseph Bech
617,Rue Xavier de Feller,RUE XAVIER DE FELLER,FELLER,21086,,N,,?,06.09.2011,,?,,?,1,,N,RUE XAVIER DE FELLER
618,Rue Yolande,RUE YOLANDE,YOLANDE,61091,,N,,?,04.02.2003,,?,,?,1,,N,RUE YOLANDE
619,Salzhof,SALZHOF,SALZHOF,51093,,N,,?,04.02.2003,,?,,?,1,,N,SALZHOF
620,Sentier de Bricherhof,SENTIER DE BRICHERHOF,BRICHERHOF,11082,,N,,?,04.02.2003,,?,,?,1,,N,SENTIER DE BRICHERHOF
621,Sentier de l'Espérance,SENTIER DE L'ESPERANCE,ESPERANCE,21074,,N,,?,13.03.2014,,?,,?,1,,N,SENTIER DE L'ESPERANCE
622,Sentier de la Scierie,SENTIER DE LA SCIERIE,SCIERIE,61006,,N,,?,04.02.2003,,?,,?,1,,N,SENTIER DE LA SCIERIE
623,Square Edouard André,SQUARE EDOUARD ANDRE,ANDRE,11017,,N,,?,19.05.2015,,?,,?,1,,N,SQUARE EDOUARD ANDRE
624,Tawioun,TAWIOUN,TAWIOUN,61033,,N,,?,04.02.2003,,?,,?,1,,N,TAWIOUN
625,Val de Hamm,VAL DE HAMM,HAMM,31053,,N,,?,04.02.2003,N,,2,,1,,N,VAL DE HAMM
626,Val des Bons-Malades,VAL DES BONS-MALADES,BONS-MALAD,41043,,N,,?,04.02.2003,,?,,?,1,,N,VAL DES BONS-MALADES
627,Val du Scheid,VAL DU SCHEID,SCHEID,11110,,N,,?,04.02.2003,CR,,234,,1,,N,VAL DU SCHEID
628,Val Fleuri,VAL FLEURI,FLEURI,21094,,N,,?,04.02.2003,,?,,?,1,,N,VAL FLEURI
629,Val St André,VAL ST ANDRE,ANDRE,11018,,N,,?,19.05.2015,,?,,?,1,,N,Val St André
6746,Eecherfeld,EECHERFELD,EECHERFELD,6746,,O,,?,01.07.2005,,?,,?,1,,N,Eecherfeld
6747,Eydtmillen,EYDTMILLEN,EYDTMILLEN,6747,,O,,?,01.07.2005,,?,,?,1,,N,Eydtmillen
6748,Beim Fetschebur,BEIM FETSCHEBUR,FETSCHEBUR,6748,,N,,?,26.10.2021,,?,,?,1,,N,Beim Fetschebur
630,Val Ste Croix,VAL STE CROIX,CROIX,21033,,N,,?,18.09.2009,,?,,?,1,,N,Val Ste Croix
6779,Rue Jean-Pierre Beckius,RUE JEAN-PIERRE BECKIUS,BECKIUS,10444,,N,,?,20.11.2000,,?,,?,1,,N,Rue Jean-Pierre Beckius
6780,Rue du Fort Berlaimont,RUE DU FORT BERLAIMONT,BERLAIMONT,91005,,N,12.12.2014,,12.12.2014,,?,,?,1,,N,Rue du Fort Berlaimont
6781,Rue de Bitbourg,RUE DE BITBOURG,BITBOURG,11749,,N,,?,20.11.2000,,?,,?,1,,N,Rue de Bitbourg
6743,Bambësch,BAMBESCH,BAMBESCH,6743,,O,,?,01.07.2005,CR,,215,,1,,N,Bambësch
6744,Crispinusbierg,CRISPINUSBIERG,CRISPINUS,6744,,O,,?,01.07.2005,,?,,?,1,,N,Crispinusbierg
6745,Duderhaff,DUDERHAFF,DUDERHAFF,6745,,O,,?,01.07.2005,,?,,?,1,,N,Duderhaff
6749,Fetschenhaff,FETSCHENHAFF,FETSCHENHA,91036,,O,,?,25.08.2000,,?,,?,1,,N,Fetschenhaff
6750,Rue du Glacis,RUE DU GLACIS,GLACIS,6750,,O,,?,21.12.2010,,?,,?,1,,N,Rue du Glacis
6751,Hammerdelchen,HAMMERDELCHEN,HAMMERDEL,31053,,O,,?,25.08.2000,,?,,?,1,,N,Hammerdelchen
6752,Juegdschlass,JUEGDSCHLASS,JUEGD,,?,O,,?,25.08.2000,,?,,?,1,,N,Juegdschlass
6753,Kalchesbréck,KALCHESBRECK,KALCHES,19826,,O,,?,25.08.2000,,?,,?,1,,N,Kalchesbréck
6754,Kockelscheier,KOCKELSCHEIER,KOCKEL,21377,,O,,?,25.08.2000,,?,,?,1,,N,Kockelscheier
6773,Rue de l'Abattoir,RUE DE L'ABATTOIR,ABATTOIR,11001,,N,,?,20.11.2000,,?,,?,1,,N,Rue de l'Abattoir
6774,Pont Adolphe,PONT ADOLPHE,ADOLPHE,,?,N,,?,20.11.2000,,?,,?,1,,N,Pont Adolphe
6775,Rue Paul Albrecht,RUE PAUL ALBRECHT,ALBRECHT,10442,,N,,?,20.11.2000,,?,,?,1,,N,Rue Paul Albrecht
6782,Tunnel Albert Bousser,TUNNEL ALBERT BOUSSER,BOUSSER,,?,N,,?,18.09.2009,,?,,?,1,,N,Tunnel Albert Bousser
6783,Rue Nicolas Bové,RUE NICOLAS BOVE,BOVE,11072,,N,,?,20.11.2000,,?,,?,1,,N,Rue Nicolas Bové
6784,Square Robert Brasseur,SQUARE ROBERT BRASSEUR,BRASSEUR,71066,,N,,?,20.11.2000,,?,,?,1,,N,Square Robert Brasseur
4,Allée du Carmel,ALLEE DU CARMEL,CARMEL,10445,,N,,?,04.02.2003,,?,,?,1,,N,ALLEE DU CARMEL
131,Rue Alexandre Fleming,RUE ALEXANDRE FLEMING,FLEMING,21093,,N,,?,04.02.2003,,?,,?,1,,N,RUE ALEXANDRE FLEMING
132,Rue Alfred de Musset,RUE ALFRED DE MUSSET,MUSSET,41093,,N,,?,06.09.2011,,?,,?,1,,N,RUE ALFRED DE MUSSET
133,Rue Alfred Kowalsky,RUE ALFRED KOWALSKY,KOWALSKY,41003,,N,,?,04.02.2003,,?,,?,1,,N,RUE ALFRED KOWALSKY
134,Rue Aloyse Kayser,RUE ALOYSE KAYSER,KAYSER,31091,,N,,?,04.02.2003,,?,,?,1,,N,RUE ALOYSE KAYSER
135,Rue Alphonse Munchen,RUE ALPHONSE MUNCHEN,MUNCHEN,41089,,N,,?,04.02.2003,,?,,?,1,,N,RUE ALPHONSE MUNCHEN
136,Rue Alphonse Rupprecht,RUE ALPHONSE RUPPRECHT,RUPPRECHT,91555,,N,,?,04.02.2003,,?,,?,1,,N,RUE ALPHONSE RUPPRECHT
137,Rue Anatole France,RUE ANATOLE FRANCE,FRANCE,31007,,N,,?,04.02.2003,,?,,?,1,,N,RUE ANATOLE FRANCE
138,Rue André Chevalier,RUE ANDRE CHEVALIER,CHEVALIER,21010,,N,,?,18.06.2015,,?,,?,1,,N,RUE ANDRE CHEVALIER
